a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
29 57 59 1 0 5 3 1 0 2 0 1 1
30 2 59 1 0 4 3 1 0 2 0 1 1
31 40 59 1 9 10 18 7 0 10 4 3 3
32 24 59 1 12 17 18 7 0 12 3 4 5
33 34 59 1 14 24 18 7 0 14 4 3 7
34 33 59 1 9 20 16 6 0 11 2 4 5
35 27 59 1 7 23 18 7 0 12 4 3 5
36 41 59 1 9 19 20 8 0 13 4 4 5
37 8 59 1 7 14 15 6 0 10 3 3 4
38 14 59 1 9 15 15 6 0 10 3 3 4
39 56 59 1 1 8 3 1 0 3 1 0 2
40 31 59 1 5 18 20 8 0 12 4 4 4
41 36 59 1 7 15 18 7 0 11 4 3 4
42 52 59 1 3 12 8 3 0 6 1 2 3
43 11 59 1 7 18 13 5 0 9 3 2 4
44 55 59 1 5 16 10 4 0 8 2 2 4
45 21 59 1 7 14 16 6 0 10 4 2 4
46 9 59 1 5 12 13 5 0 8 2 3 3
47 54 59 1 1 9 6 2 0 4 2 0 2
48 16 59 1 5 18 20 8 0 13 4 4 5
49 53 59 1 3 13 10 4 0 7 2 2 3
50 13 59 1 7 17 15 6 0 11 3 3 5
51 22 59 1 7 25 20 8 0 14 4 4 6
52 42 59 1 9 18 20 8 0 13 4 4 5
53 49 59 1 4 14 15 6 0 9 3 3 3
54 47 59 1 4 18 15 6 0 10 3 3 4
55 44 59 1 7 20 18 7 0 12 4 3 5
56 39 59 1 7 21 20 8 0 13 4 4 5
57 29 59 1 5 18 16 6 0 10 4 2 4
58 58 59 1 0 4 0 0 0 1 0 0 1
2 31 61 1 4 17 18 7 0 11 3 4 4
3 41 61 1 2 10 16 6 0 8 2 4 2
4 46 61 1 4 16 15 6 0 10 3 3 4
5 49 61 1 1 10 11 4 0 6 1 3 2
6 51 61 1 2 9 13 5 0 7 2 3 2
7 35 61 1 7 13 20 8 0 12 4 4 4
8 23 61 1 5 22 18 7 0 12 3 4 5
9 34 61 1 7 19 18 7 0 12 4 3 5
10 55 61 1 1 9 8 3 0 5 1 2 2
11 50 61 1 4 12 13 5 0 8 3 2 3
12 56 61 1 2 8 10 4 0 6 2 2 2
13 47 61 1 7 14 15 6 0 10 3 3 4
14 48 61 1 3 12 15 6 0 9 3 3 3
15 57 61 1 0 6 6 2 0 3 0 2 1
16 42 61 1 10 24 20 8 0 14 4 4 6
17 18 61 1 6 21 20 8 0 13 4 4 5
